cell_id,replicate,weight,recovery,schedule_index,duration_seconds,budget_overrun_seconds,turns,canonical_executed_calls,canonical_executed_calls_per_minute,canonical_tool_bearing_turns,tool_parse_rate,api_errors,sub_sessions,raw_generations,generations_with_structured_call,generations_without_structured_call,structured_call_emission_rate,raw_structured_calls,raw_structured_calls_per_minute,malformed_emissions,recoverable_raw_calls,recovered_calls,recovered_execution_errors,recovered_execution_successes,repeat_recoveries_within_window,core3_stages_advanced,quest_stages_advanced,xp_db_delta,unique_positions,canonical_action_counts,raw_action_counts,recovered_by_tool
rep01-base-rec-off,1,base,False,0,1801.9,1.9,19,19,0.632666,19,1.0,0,15,57,19,38,0.333333,19,0.632666,0,0,0,0,0,0,0,0,1575,4,"{""navigate"":1,""observe"":17,""warp"":1}","{""navigate"":1,""observe"":17,""warp"":1}",{}
rep01-base-rec-on,1,base,True,1,1830.9,30.9,17,17,0.557103,17,1.0,0,14,56,17,39,0.303571,17,0.557103,0,0,0,0,0,0,0,0,1520,2,"{""observe"":14,""query_quest"":2,""warp"":1}","{""observe"":14,""query_quest"":2,""warp"":1}",{}
rep01-r2-rec-on,1,r2,True,2,1834.9,34.9,10,10,0.326993,10,1.0,0,13,51,10,41,0.196078,10,0.326993,0,0,0,0,0,0,0,0,935,3,"{""navigate"":1,""observe"":8,""warp"":1}","{""navigate"":1,""observe"":8,""warp"":1}",{}
rep01-r2-rec-off,1,r2,False,3,1823.8,23.8,6,6,0.19739,6,1.0,0,12,47,6,41,0.12766,6,0.19739,0,0,0,0,0,0,0,0,1155,1,"{""observe"":6}","{""observe"":6}",{}
rep01-r3-rec-off,1,r3,False,4,1820.9,20.9,5,5,0.164754,5,1.0,0,12,46,5,41,0.108696,5,0.164754,0,0,0,0,0,0,0,0,2065,1,"{""observe"":5}","{""observe"":5}",{}
rep01-r3-rec-on,1,r3,True,5,1823.0,23.0,18,18,0.59243,18,1.0,0,14,56,18,38,0.321429,18,0.59243,0,0,0,0,0,0,0,0,1465,2,"{""observe"":15,""query_quest"":2,""warp"":1}","{""observe"":15,""query_quest"":2,""warp"":1}",{}
rep02-r3-rec-off,2,r3,False,6,1809.7,9.7,15,15,0.49732,15,1.0,0,13,53,15,38,0.283019,15,0.49732,0,0,0,0,0,0,1,1,1355,3,"{""interact_npc"":1,""observe"":13,""warp"":1}","{""interact_npc"":1,""observe"":13,""warp"":1}",{}
rep02-r3-rec-on,2,r3,True,7,1848.9,48.9,19,19,0.616583,19,1.0,0,14,57,19,38,0.333333,19,0.616583,0,0,0,0,0,0,0,0,1507,5,"{""attack"":1,""navigate"":1,""observe"":15,""respawn"":1,""warp"":1}","{""attack"":1,""navigate"":1,""observe"":15,""respawn"":1,""warp"":1}",{}
rep02-base-rec-on,2,base,True,8,1811.2,11.2,24,24,0.795053,24,1.0,0,14,59,24,35,0.40678,24,0.795053,0,0,0,0,0,0,1,1,2130,4,"{""gather"":1,""interact_npc"":3,""navigate"":1,""observe"":14,""query_quest"":3,""warp"":2}","{""gather"":1,""interact_npc"":3,""navigate"":1,""observe"":14,""query_quest"":3,""warp"":2}",{}
rep02-base-rec-off,2,base,False,9,1802.1,2.1,25,25,0.832362,25,1.0,0,15,61,25,36,0.409836,25,0.832362,0,0,0,0,0,0,1,1,2340,4,"{""interact_npc"":6,""navigate"":2,""observe"":16,""warp"":1}","{""interact_npc"":6,""navigate"":2,""observe"":16,""warp"":1}",{}
rep02-r2-rec-off,2,r2,False,10,1817.8,17.8,14,14,0.462097,14,1.0,0,13,53,14,39,0.264151,14,0.462097,0,0,0,0,0,0,0,0,1410,2,"{""observe"":13,""warp"":1}","{""observe"":13,""warp"":1}",{}
